Municipality,Cluster,Benefit_Type,Rate_2023,Rate_2024,Rate_2025,Cumulative_Change_Pct,Trend,Z_Score
יאנוח-ג'ת,3.0,ילדים,146.73991614861933,142.7751470799254,140.78291814946618,-4.059562084743085,→ יציבה,0.11737500903404381
יבנאל,3.0,ילדים,136.59285244463933,141.2705464238117,142.53748042067576,4.352078362552512,→ יציבה,0.3207074527716085
יבנה,7.0,ילדים,152.02793446145583,147.9770207831907,147.23915694129943,-3.1499326338413924,→ יציבה,1.0721456991169147
יד בנימין,,ילדים,131.29664179104478,134.7665279704115,134.47098976109214,2.4176916688389163,→ יציבה,
יהוד,8.0,ילדים,,129.2299833993104,,,N/A,
יהוד-מונוסון,,ילדים,130.27647096732616,,126.63332795612195,-2.79647044792757,→ יציבה,
יסוד המעלה,8.0,ילדים,124.92382693479585,,108.82708585247885,-12.885244934674251,↓ יורדת,
יפיע,3.0,ילדים,134.51506710559636,134.8117741289548,133.82659648425863,-0.5118167326172233,→ יציבה,-0.6887781305955409
יצהר,,ילדים,130.14311270125222,136.8507831821929,135.0293542074364,3.754514092037052,→ יציבה,
יקיר,,ילדים,145.0271247739602,146.0794844253491,144.2715700141443,-0.5209747907458818,→ יציבה,
יקנעם עילית,7.0,ילדים,133.54531001589825,132.2073619136127,130.63391699092088,-2.1800788246556744,→ יציבה,-0.05075679515756298
ירוחם,3.0,ילדים,138.30954994511526,134.648868253047,134.92128232319112,-2.4497712726769003,→ יציבה,-0.5619173457676525
ירושלים,2.0,ילדים,131.5712537871127,131.0024692720476,130.5351211806705,-0.7875068273794142,→ יציבה,-1.4067598917681914
ירכא,3.0,ילדים,141.88053994554198,142.3667675122178,140.09829430471234,-1.256159330598631,→ יציבה,0.03803542577785155
כאבול,2.0,ילדים,146.0122699386503,145.4131918119787,143.97964528923146,-1.3920916716607992,→ יציבה,0.4585464076230992
כאוכב אבו אל-היג'א,2.0,ילדים,133.40653307713424,130.9458720612356,129.75027144408253,-2.740691590371891,→ יציבה,-1.5156507045564946
כוכב השחר,,ילדים,126.57317511686445,128.0701754385965,127.84767086025161,1.0069240518067333,→ יציבה,
כוכב יאיר,9.0,ילדים,110.95809561282708,109.9428338097183,109.79818048729479,-1.0453632239504695,→ יציבה,-1.0796226976636267
כוכב יעקב,,ילדים,145.9358394016926,141.4634146341463,137.50748951467943,-5.775380414823174,↓ יורדת,
כסיפה,1.0,ילדים,143.98205593204162,144.3151380807241,144.87047559393315,0.617034988242465,→ יציבה,0.2841571998643485
כסרא-סמיע,3.0,ילדים,158.51209975694812,154.8737215612607,153.88548057259712,-2.9187798227675676,→ יציבה,1.6358027561909123
כעביה-טבאש-חג'אג'רה,2.0,ילדים,147.67176815369587,147.1944047051343,146.63951120162932,-0.6990211906937961,→ יציבה,0.8275787810912404
כפר אדומים,,ילדים,148.068669527897,146.6863655550866,145.3150912106136,-1.8596630374696579,→ יציבה,
כפר ברא,3.0,ילדים,151.28331688055283,148.7463837994214,150.41518386714117,-0.5738458352926699,→ יציבה,1.2336375431384696
כפר האורנים,,ילדים,119.79881115683585,118.2592242194891,112.28915662650603,-6.268555136576842,↓ יורדת,
כפר ורדים,9.0,ילדים,113.61219425735555,110.6505676698504,106.75772825305535,-6.033213291148481,↓ יורדת,-1.433962530911137
"כפר חב""ד",,ילדים,141.34011367035595,144.8833307915205,144.36885865457293,2.1428771390978585,→ יציבה,
כפר יאסיף,5.0,ילדים,136.21825023518343,133.8983050847458,133.16321708723183,-2.2427487819561853,→ יציבה,0.6569200203205495
כפר יונה,7.0,ילדים,152.87893611624452,147.7389790771198,146.26739176495516,-4.324692805464146,→ יציבה,1.0064316508028357
כפר כמא,5.0,ילדים,135.76065481230594,137.5941948088194,138.49958779884582,2.0174718443473583,→ יציבה,1.1354365724054671
כפר כנא,2.0,ילדים,142.78666282942072,141.0537424906641,140.7105462974064,-1.4539989175981594,→ יציבה,0.00498844651221932
כפר מנדא,2.0,ילדים,155.43473294649792,153.5318155283129,153.64939360529218,-1.148610292797474,→ יציבה,1.800136656696407
כפר מצר,,ילדים,134.1287057122198,133.6176261549396,129.68197879858656,-3.315268636956762,→ יציבה,
כפר סבא,8.0,ילדים,129.1616526273566,128.5423263881885,127.24752355030306,-1.481963909656673,→ יציבה,-0.6540035268950767
כפר קאסם,3.0,ילדים,149.2272024729521,148.5978825940121,147.3500074437993,-1.257944260861568,→ יציבה,0.8784208472869144
כפר קרע,4.0,ילדים,143.57114856918858,144.1415452665994,143.82394699479414,0.17607884879721172,→ יציבה,1.4298068014068441
כפר שמריהו,10.0,ילדים,114.5351823317925,,115.85691404164442,1.1539962507092751,→ יציבה,
כפר תבור,8.0,ילדים,129.51541850220264,126.6607617360496,123.11780336581045,-4.939655224357235,→ יציבה,-1.1970147968223344
כרמיאל,6.0,ילדים,116.3761050979096,115.116498147334,113.71505784984376,-2.286592463140993,→ יציבה,-1.5472436740599114
להבים,9.0,ילדים,117.46821448313986,117.5252037011463,117.67117671176712,0.17278055133492137,→ יציבה,-0.16208939853069568
לוד,3.0,ילדים,132.00652678509869,132.1080354140984,132.45176674615217,0.3372863235605926,→ יציבה,-0.8481041887009306
לפיד,,ילדים,103.60565951620265,96.29981024667931,100.23752969121139,-3.250912972051033,→ יציבה,
לקיה,1.0,ילדים,143.01955434288314,140.5358404434542,140.7198158610588,-1.607988846273994,→ יציבה,-0.2527131749779192
מבוא חורון,,ילדים,126.54798761609906,129.277566539924,128.28321279025505,1.3711993425134759,→ יציבה,
מבשרת ציון,8.0,ילדים,124.07607021866338,126.4129976625666,127.65639589169001,2.8855891927564348,→ יציבה,-0.6002414608431516
מג'ד אל-כרום,2.0,ילדים,146.32379572618618,148.0223914838946,148.54553022244832,1.5183685505395492,→ יציבה,1.0920217065220796
מג'דל שמס,3.0,ילדים,143.4228650137741,140.1372212692967,138.58348248529788,-3.3742057293385233,→ יציבה,-0.13751285432493981
מגאר,2.0,ילדים,145.50589390962674,145.4574938176511,144.1488297659532,-0.9326523532554691,→ יציבה,0.48201922582328594
מגדל,5.0,ילדים,125.23809523809523,124.2774566473988,127.45098039215685,1.7669425184522474,→ יציבה,0.1446992703506694
מגדל העמק,4.0,ילדים,126.84087172490993,125.992754632855,125.05144738647277,-1.4107631980944022,→ יציבה,-1.019816116247955
מודיעין עילית,1.0,ילדים,124.44576877234803,125.54734378982,125.58900003406265,0.91865820187584,→ יציבה,-2.2098205476613795
מודיעין-מכבים-רעות,8.0,ילדים,141.52991409023096,140.9607143927362,138.70999219359877,-1.9924564462283092,→ יציבה,0.8531808285655825
מוקייבלה,,ילדים,146.74769300022507,145.6953642384106,142.172871761376,-3.1174740435899406,→ יציבה,
מזכרת בתיה,8.0,ילדים,141.48591373722263,137.7818968180414,135.97384169288668,-3.895845104816124,→ יציבה,0.49340813411453804
מזרעה,4.0,ילדים,139.69873663751216,139.5516992046276,141.12327463112803,1.0197214576909437,→ יציבה,1.0773961446938227
מטולה,8.0,ילדים,93.75,,97.38955823293173,3.882195448460516,→ יציבה,
מייסר,,ילדים,140.28251339503169,140.5038759689922,139.98082454458293,-0.21505805901781064,→ יציבה,
מיתר,8.0,ילדים,145.494767293457,143.2569974554708,141.97635135135133,-2.4182422554133245,→ יציבה,1.2826699355878937
מסעדה,2.0,ילדים,147.00239808153478,143.4016198189614,141.45992366412213,-3.7703292529544443,→ יציבה,0.10895778834009501
מעגן מיכאל,,ילדים,133.33333333333334,135.3495290034705,131.85185185185185,-1.1111111111111212,→ יציבה,
מעיליא,7.0,ילדים,123.40966921119593,120.0631911532385,117.21728081321474,-5.017749774034243,↓ יורדת,-0.9580351165633293
מעלה אדומים,6.0,ילדים,124.25579417393153,123.5840172205032,122.2243055741569,-1.634924643377985,→ יציבה,-0.10030561573153712
מעלה אפרים,5.0,ילדים,121.62162162162163,,119.66292134831461,-1.6104868913857688,→ יציבה,
מעלה מכמש,,ילדים,,135.1606805293006,133.12274368231047,,N/A,
מעלה עירון,2.0,ילדים,149.51211835064527,148.6503219415552,147.977159518892,-1.0266450965221359,→ יציבה,1.0131654044936582
מעלות-תרשיחא,5.0,ילדים,122.50991767265282,119.3705220061412,118.19799966095948,-3.5196481179709913,→ יציבה,-0.6850227777005196
מצפה יריחו,,ילדים,134.31151241534988,131.4929168180167,131.70205109751709,-1.9428426282351745,→ יציבה,
מצפה רמון,3.0,ילדים,140.9940077546704,138.2099525232988,138.23682837767345,-1.9555294731350932,→ יציבה,-0.17768585245190166
מרכז שפירא,,ילדים,128.46865364850976,139.6337475474166,137.02359346642467,6.6591651542649695,↑ עולה,
משהד,2.0,ילדים,131.69566700784716,132.4719101123596,131.427304964539,-0.2037743909161281,→ יציבה,-1.2829774492788395
מתן,,ילדים,113.03030303030303,110.7288082577416,110.89866156787762,-1.8859026343173837,→ יציבה,
מתתיהו,,ילדים,196.80704651802918,199.5926680244399,200.82096621408274,2.0395203154912718,→ יציבה,
נאעורה,,ילדים,172.32624563630594,172.2940990848848,168.93819334389858,-1.9660686507137402,→ יציבה,
נהרייה,6.0,ילדים,126.4462070610687,122.9780633724795,122.24338990878651,-3.3237985147726836,→ יציבה,-0.09706045811148598
נווה דניאל,,ילדים,132.08284486127394,133.9563862928349,131.63636363636363,-0.33803119956967315,→ יציבה,
נוף איילון,,ילדים,110.25756891098057,112.933458294283,105.9053196681308,-3.9473473665682506,→ יציבה,
נוף הגליל,5.0,ילדים,118.6765457332652,120.2305330023979,120.93617199438967,1.9040209227214562,→ יציבה,-0.43948871441745446
נופית,,ילדים,115.01210653753027,114.4879267277269,108.40802390098165,-5.742076060830699,↓ יורדת,
נוקדים,,ילדים,157.04697986577182,160.7757272442915,158.18551904623436,0.7249672559355517,→ יציבה,
נחף,2.0,ילדים,140.55053702254781,138.9980353634577,138.49033063006863,-1.4658118254992363,→ יציבה,-0.3030464260390026
ניין,,ילדים,,134.4246031746032,133.65853658536585,,N/A,
"ניל""י",,ילדים,149.73519499277805,147.906976744186,150.41782729805016,0.455893021881083,→ יציבה,
ניצן,,ילדים,134.27010148321625,129.145532579009,131.89355958349404,-1.7699710311303223,→ יציבה,
נס ציונה,8.0,ילדים,138.76154335475664,135.2090919121704,133.28768938557357,-3.944791789457586,→ יציבה,0.14020963386522087
נעלה,,ילדים,179.66903073286053,166.0701503221188,160.99614170466504,-10.39293691964039,↓ יורדת,
נצרת,3.0,ילדים,133.78320748563831,132.7738325801592,131.0734751700637,-2.0254652033705485,→ יציבה,-1.0078314317561279
נשר,7.0,ילדים,116.50924210240882,115.5340249531557,113.60519338026882,-2.492547947043905,→ יציבה,-1.2022966870141683
נתיבות,3.0,ילדים,149.1058004273166,144.7947280991585,146.82072926036116,-1.5325166159912955,→ יציבה,0.817083938234797
נתניה,6.0,ילדים,121.41000836760806,121.1376326877081,120.61718448982451,-0.6530136093747864,→ יציבה,-0.37358531525400057
סאג'ור,3.0,ילדים,148.41688654353564,147.3730106823632,146.83053040103493,-1.0688515164582526,→ יציבה,0.8182197713239469
סביון,10.0,ילדים,105.0519357884797,105.1245210727969,105.69300984866682,0.6102448806635171,→ יציבה,
סולם,,ילדים,136.5725541694025,140.6199021207178,136.1729590190384,-0.2925881798098827,→ יציבה,
סח'נין,3.0,ילדים,149.53776134262552,148.0970611417633,146.75862836165422,-1.858482403386836,→ יציבה,0.8098871987975145
סלמה,,ילדים,144.358407079646,141.8092909535452,141.7930300611865,-1.7770887545497327,→ יציבה,
סעוה,,ילדים,131.20899718837865,131.2178387650086,134.50515857852503,2.5121458594901345,→ יציבה,
ע'ג'ר,2.0,ילדים,150.3706318390399,150.3290613093176,149.45280437756497,-0.6103768071264019,→ יציבה,1.2178978017374085
עוזייר,,ילדים,156.74157303370785,155.7264487778083,154.49361933206626,-1.4341783472838832,→ יציבה,
עומר,9.0,ילדים,127.13160061154888,123.7003780718337,122.62791256305549,-3.542540192075788,→ יציבה,0.41557761271798743
